,name,struct,addr,lat,lon
24782,"Муниципальное общеобразовательное учреждение ""Эстетическая гимназия № 32""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, г. Новокузнецк, ул.Новоселов 53.",53.89814,87.13637
24785,"Муниципальное общеобразовательное учреждение ""Гимназия № 59""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, г. Новокузнецк, ул.Косыгина 73.",53.89457,87.1357
24788,"Муниципальное общеобразовательное учреждение ""Лицей № 35""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 98-а.",53.82326,87.16633
24789,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 33""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, проезд Ижевский 15.",53.83414,87.1911
24791,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 89""",(Муниципальное образовательное учреждение),"654055, Кемеровская область, Кемеровской область , г. Новокузнецк, ул. Ладожская 110.",53.79917,87.14906
24792,"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа № 17""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Климасенко 22/2.",53.83636,87.17281
24804,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 14""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 106.",53.89861,87.13395
24807,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 65""",(Муниципальное образовательное учреждение),"654054, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Косыгина 63.",53.89429,87.1323
24809,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 94""",(Муниципальное образовательное учреждение),"654011, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 74.",53.89777,87.12042
24813,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 107""",(Муниципальное образовательное учреждение),"654011, Кемеровская область, Кемеровской область, г. Новокузнецк, пр. Авиаторов 47.",53.90059,87.12233
24867,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 5""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Клименко 7-а.",53.82754,87.16089
24868,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 79""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 112.",53.81812,87.16311
24870,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 81""",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Горьковская 17.",53.83096,87.18917
24872,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 93""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Тореза 11.",53.83505,87.17919
24874,"Муниципальное общеобразовательное учреждение ""Санаторная школа-интернат № 82""",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Горьковская 33.",53.82514,87.18236
24875,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа № 58"" VIII вида",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Горьковская 15.",53.83153,87.18738
24892,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 102""",(Муниципальное образовательное учреждение),"654040, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. Климасенко 12/3.",53.83728,87.17585
24893,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22""",(Муниципальное образовательное учреждение),"654038, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 52-а.",53.82791,87.17306
24894,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 3""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, Кемеровской область, г. Новокузнецк, ул. 40 лет ВЛКСМ 112-а.",53.81812,87.16311
24895,"Муниципальное общеобразовательное учреждение ""Гимназия № 46""",(Муниципальное образовательное учреждение),"654040, Кемеровская область, г. Новокузнецк, ул.Климансенко 25-а.",53.84153,87.16457
24896,"Муниципальное общеобразовательное учреждение ""Детский дом № 4""",(Муниципальное образовательное учреждение),"654031, Кемеровская область, Кемеровской область, г. Новокузнецк, ул.Горьковская 67.",53.82086,87.17462
24982,"Муниципальное общеобразовательное учреждение ""Гимназия № 73""",(Муниципальное образовательное учреждение),"654041, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Батюшкова, 3,",53.74337,87.14515
24983,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 23""",(Муниципальное образовательное учреждение),"654045, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Вредакова, 104,",53.715110200000005,87.0857128
24984,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 6""",(Муниципальное образовательное учреждение),"654041, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Транспортная, 57,",53.74313,87.13199
24987,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 36"".",(Муниципальное образовательное учреждение),"654044, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Олимпийская, 20,",53.89104,87.10825
24990,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа-интернат № 38 II вида""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, г. Новокузнецк, пр.Пионерский, 9",53.76125,87.10767
24991,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа № 106 для слепых и слабовидящих детей""",(Муниципальное образовательное учреждение),"654025, Кемеровская область, г. Новокузнецк, ул.Кирова, 33 А",53.75832,87.1276
24999,"Муниципальное образовательное учреждение ""Средняя общеобразовательная школа № 87""",(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Циолковского, д. 42а",53.74844,87.14165
25000,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) общеобразовательная школа № 78"" VIII вида.",(Муниципальное образовательное учреждение),"654044, Кемеровская область,  Кемеровской области, г. Новокузнецк, ул. Косыгина, 20,",53.8878903,87.1099174
25001,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 37""",(Муниципальное образовательное учреждение),"654036, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Варшавская, 2,",53.71556,87.12821
25003,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 43""",(Муниципальное образовательное учреждение),"654028, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Жасминная, 8,",53.74335,87.03431
25004,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 77""",(Муниципальное образовательное учреждение),"654044, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Косыгина, 49,",53.89264,87.12218
25005,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 9 имени В.К. Демидова""",(Муниципальное образовательное учреждение),"654063, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. К. Маркса, 5,",53.74827,87.05826
25006,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 2""",(Муниципальное образовательное учреждение),"654006, Кемеровская область, г. Новокузнецк, ул. Филлипова, 10",53.77244,87.10146
25007,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная гимназия № 70""",(Муниципальное образовательное учреждение),"654005, Кемеровская область, г. Новокузнецк, ул Франкфурта, 16",53.76135,87.15773
